,Reviews,Ratings
6243,Highly recommended,5
6244,Simply awesome,5
6245,Just wow!,5
6246,Mind-blowing purchase,5
6247,Great product,5
6248,Worth every penny,5
6249,Great product,5
6250,Terrific purchase,5
6251,Must buy!,5
6252,Mac experience!,5
6253,Worth every penny,5
6254,Wonderful,5
6255,Good bargain,4
6256,Classy product,5
6257,Mind-blowing purchase,5
6258,Delightful,4
6259,Must buy!,5
6260,Terrific,5
6261,Happy Air,5
6262,Awesome product,5
6263,Good value for Money,5
6264,Best in the market!,5
6265,make the most of now.,5
6266,Good choice,5
6267,Flipkart rocks !!!,5
6268,Excellent and worthy each penny by Flipkart,5
6269,Discount price,5
6270,Terrific purchase,5
6271,Awesome,5
6272,Mind-blowing purchase,5
6273,Seamless Experience,5
6274,5 star,5
6275,Mind-blowing purchase,5
6276,Awesome,5
6277,Perfect product!,5
6278,Terrific purchase,5
6279,Excellent,5
6280,Super!,5
6281,Five star,3
6282,Perfect product!,5
6283,Fabulous!,5
6284,Delightful,5
6285,Mind-blowing purchase,5
6286,Fabulous!,5
6287,Just wow!,5
6288,Best in the market!,5
6289,Terrific,5
6290,Fabulous!,5
6291,Just okay,3
6292,Must buy!,5
6293,Just wow!,5
6294,Wonderful,5
6295,Excellent,5
6296,Super!,5
6297,Terrific purchase,5
6298,Mind-blowing purchase,5
6299,Terrific purchase,5
6300,Terrific purchase,5
6301,Great,5
6302,Terrific,5
6303,Highly recommended,5
6304,I Love Every Apple Products,4
6305,Super!,5
6306,Highly recommended,5
6307,Terrific,5
6308,Awesome product...,5
6309,Brilliant,5
6310,Good,5
6311,Brilliant,5
6312,Just wow!,5
6313,Wonderful,5
6314,Classy product,5
6315,Very poor,1
6316,Terrific purchase,5
6317,Classy product,5
6318,Just okay,3
6319,Fabulous!,5
6320,Simply awesome,5
6321,Go for it.,5
6322,Nice product,4
6323,Macbook Air,5
6324,Excellent product.,5
6325,Good choice,4
6326,Brilliant,5
6327,Awesome,5
6328,Best in the market!,5
6329,Great product,5
6330,Superb product,5
6331,Good choice,4
6332,Good choice,4
6333,Excellent,5
6334,Mind-blowing purchase,5
6335,Awesome,5
6336,Just wow!,5
6337,Great product,5
6338,Just wow!,5
6339,Perfect product!,5
6340,Excellent,5
6341,Great product,5
6342,Terrific purchase,5
6343,Excellent,5
6344,Mind-blowing purchase,5
6345,Thanks flipkart,5
6346,Good quality product,4
6347,Simply awesome,5
6348,Highly recommended,5
6349,Worth every penny,5
6350,Highly recommended,5
6351,Excellent,5
6352,Terrific purchase,5
6353,Delightful,4
6354,Perfect product!,5
6355,Good quality product,4
6356,Excellent,5
6357,Hum hai rahi desh ke,5
6358,Just wow!,5
6359,Must buy!,5
6360,Very Good,4
6361,Worth the money,4
6362,Very Good,4
6363,Excellent,5
6364,Must buy!,5
6365,Perfect product!,5
6366,Fabulous!,5
6367,Classy product,5
6368,Brilliant,5
6369,Must buy!,5
6370,Just wow!,5
6371,Terrific purchase,5
6372,Super!,5
6373,Brilliant,5
6374,Awesome,5
6375,Simply awesome,5
6376,Highly recommended,5
6377,Perfect product!,5
6378,Terrific,5
6379,the best one,5
6380,Worth every penny,5
6381,Worth every penny,5
6382,Awesome,5
6383,Starbucks ke liye best hai,5
6384,Super!,5
6385,Brilliant,5
6386,Nice,3
6387,Really Nice,4
6388,Must buy!,5
6389,Just wow!,5
6390,Wonderful,5
6391,Brilliant,5
6392,Brilliant,5
6393,Best MacBook,5
6394,Finally I got my MacBook thanks Flipkart,5
6395,Super!,5
6396,Fabulous!,5
6397,Just wow!,5
6398,MacBook,5
6399,Excellent,5
6400,Terrific,5
6401,Brilliant,5
6402,Mac air,5
6403,Terrific purchase,5
6404,Classy product,5
6405,Super!,5
6406,Terrific purchase,5
6407,Awesome machine,5
6408,Highly recommended,5
6409,Classy product,5
6410,Terrific purchase,5
6411,Great product,5
6412,"Classy Product, Terrific Purchase!",5
6413,Good service,5
6414,Fabulous!,5
6415,Must buy!,5
6416,Worth every penny,5
6417,Brilliant,5
6418,Fabulous!,5
6419,Best in the market!,5
6420,MacBook Air,5
6421,Awesome,5
6422,Mind-blowing purchase,5
6423,Worth every penny,5
6424,Excellent,5
6425,Terrific purchase,5
6426,BIG OPPORTUNITY IN BIG BILLION DAY,5
6427,Brilliant,5
6428,Worth every penny,5
6429,Simply awesome,5
6430,Very Good Product,5
6431,Simply awesome,5
6432,Mind-blowing purchase,5
6433,Nice,5
6434,Must buy!,5
6435,Mind-blowing purchase,5
6436,Awesome,5
6437,Don't waste your money,1
6438,Good service,5
6439,Must buy!,5
6440,Classy product,5
6441,Awesome,5
6442,Brilliant,5
6443,Excellent,5
6444,Great product,5
6445,Excellent,5
6446,Must buy!,5
6447,Classy product,5
6448,Wonderful,5
6449,Perfect product!,5
6450,Highly recommended,5
6451,Wonderful,5
6452,Terrific purchase,5
6453,Excellent,5
6454,Processor,5
6455,Wonderful,5
6456,Nice Product,5
6457,Good quality product,4
6458,Terrific,5
6459,Classy product,5
6460,Wonderful,5
6461,Perfect product!,5
6462,Amazing service and beautiful packing,5
6463,Simply awesome,5
6464,Super!,5
6465,Just wow!,5
6466,Mind-blowing purchase,5
6467,Classy product,5
6468,Good quality product,4
6469,Perfect product!,5
6470,Wonderful,5
6471,Good Buy,5
6472,Fabulous!,5
6473,Mind-blowing purchase,5
6474,Fabulous!,5
6475,Fabulous!,5
6476,Worth every penny,5
6477,Mind-blowing purchase,5
6478,Absolutely stunning and Gorgeous 😍,5
6479,Perfect product!,5
6480,Perfect product!,5
6481,Best in the market!,5
6482,Classy product,5
6483,Terrific,5
6484,Terrific,5
6485,Just wow!,5
6486,Just wow!,5
6487,Terrific,5
6488,Terrific purchase,5
6489,"Don't think, just buy !",5
6490,Mind-blowing purchase,5
6491,Terrific,5
6492,Fabulous!,5
6493,Excellent Laptop at 45k,5
6494,Awesome,5
6495,Fabulous!,5
6496,Super!,5
6497,Terrific,5
6498,Best in the market!,5
6499,Awesome,5
6500,Awesome.,5
6501,Excellent,5
6502,Brilliant,5
6503,Awesome,5
6504,Brilliant,5
6505,Super!,4
6506,Highly recommended,5
6507,Excellent,5
6508,Brilliant,5
6509,Classy product,5
6510,Perfect product!,5
6511,Nice Product,4
6512,Mind-blowing purchase,5
6513,Perfect product!,5
6514,Classy product,5
6515,Nice,3
6516,Great product,5
6517,Fabulous!,5
6518,Excellent,5
6519,Great product,5
6520,Big Billion sales.. Fantastic. For 43K MacBook A,5
6521,Simply awesome,5
6522,Delightful,4
6523,Best in the market!,5
6524,Fabulous!,5
6525,Good quality product,4
6526,Super-smooth,5
6527,Thanks flipkart,5
6528,Excellent,5
6529,Best in the market!,5
6530,Happy deal,5
6531,Wonderful,5
6532,Must have Laptop,5
6533,Thank you Flipcart for best offer and Bajaj,5
6534,Terrific,5
6535,Wonderful,4
6536,Terrific,5
6537,Highly recommended,5
6538,Mind-blowing purchase,5
6539,Great product,5
6540,Highly recommended,5
6541,Awesome,5
6542,Brilliant,5
6543,Worth every penny,5
6544,The best there is,5
6545,Just wow!,5
6546,Just wow!,5
6547,Perfect product!,5
6548,Just wow!,5
6549,Terrific purchase,5
6550,Perfection,4
6551,Wonderful,5
6552,Excellent,5
6553,Best in the market!,5
6554,Fabulous!,5
6555,Apple is Apple,5
6556,Good product.,5
6557,Perfect product!,5
6558,Fabulous!,5
6559,Loved it,5
6560,Perfect product!,5
6561,Classy product,5
6562,Best in the market!,5
6563,Simply awesome,5
6564,Product as per spec n genuine,5
6565,Excellent,5
6566,Just wow!,5
6567,Simply awesome,5
6568,Must buy!,5
6569,Terrific,5
6570,Excellent,5
6571,Super!,5
6572,Must buy!,5
6573,Super!,5
6574,Must buy!,5
6575,Super!,5
6576,Terrific purchase,5
6577,Excellent,5
6578,Very poor,1
6579,Help!!,3
6580,Mind-blowing purchase,5
6581,Apple warranty is not proper,2
6582,Utterly Disappointed,1
6583,Best product no doubt,1
6584,Gst Credit,3
6585,Nice,3
6586,SENT WRONG PRODUCT,1
6587,Very poor,1
6588,Best in the market!,5
6589,Review,5
6590,Best in the market!,5
6591,Decent product,3
6592,Must buy!,5
6593,Terrible product,1
6594,Very bad experience,5
6595,Worth the money,4
6596,Great product,5
6597,Good product but,4
6598,Pretty good,4
6599,Super!,5
6600,Great product,5
6601,Fabulous!,5
6602,Wonderful,5
6603,Awesome,5
6604,Excellent,5
6605,Brilliant,5
6606,Super!,5
6607,Decent product,3
6608,Terrific,5
6609,Must buy!,5
6610,Terrific,5
6611,Fabulous!,5
6612,Worth every penny,5
6613,Wonderful,5
6614,Super!,5
6615,Mind-blowing purchase,5
6616,Just wow!,5
6617,Super!,5
6618,Absolute rubbish!,1
6619,Highly recommended,5
6620,Terrific purchase,5
6621,Unsatisfactory,1
6622,Super!,5
6623,Terrific,5
6624,Classy product,5
6625,Simply awesome,5
6626,Excellent,5
6627,Mind-blowing purchase,5
6628,Great product,5
6629,Simply awesome,5
6630,Awesome,5
6631,Delightful,4
6632,Good choice,4
6633,Nice product,4
6634,Excellent,5
6635,Wonderful,5
6636,Best in the market!,5
6637,Fabulous!,5
6638,Highly recommended,5
6639,Delightful,4
6640,Highly recommended,5
6641,Nice product,4
6642,Great product,5
6643,Best in the market!,5
6644,Mind-blowing purchase,5
6645,Classy product,5
6646,Apple never compromise in quality,5
6647,Classy product,5
6648,Great product,5
6649,Terrific,5
6650,Highly recommended,5
6651,Good quality product,4
6652,Terrific,5
6653,Perfect product!,5
6654,Simply awesome,5
6655,Mind-blowing purchase,5
6656,Good choice,4
6657,Brilliant,5
6658,Wonderful,4
6659,Highly recommended,5
6660,Mind-blowing purchase,5
6661,Brilliant,5
6662,Awesome,5
6663,Just wow!,5
6664,This is world Best Airpods 🌎,5
6665,Simply awesome,5
6666,Brilliant,5
6667,Highly recommended,5
6668,Super!,5
6669,Super!,5
6670,Excellent,5
6671,Just wow!,5
6672,Fabulous!,5
6673,Great product,5
6674,Fabulous!,5
6675,Good quality product,4
6676,Fabulous!,5
6677,Must buy!,5
6678,Wonderful,5
6679,Brilliant,5
6680,Super!,5
6681,Worth every penny,5
6682,Fabulous!,5
6683,Super!,5
6684,Brilliant,5
6685,Worth the money,4
6686,Perfect product!,5
6687,Simply awesome,5
6688,Highly recommended,5
6689,Terrific,5
6690,Brilliant,5
6691,Worth every penny,5
6692,Highly recommended,5
6693,Brilliant,5
6694,Good quality product,4
6695,Terrific purchase,5
6696,Great product,5
6697,Pretty good,4
6698,Terrific purchase,5
6699,Just wow!,5
6700,Excellent,5
6701,Great product,5
6702,Great product,5
6703,Best in the market!,5
6704,Simply awesome,5
6705,Terrific purchase,5
6706,Simply awesome,5
6707,Worth every penny,5
6708,Wonderful,4
6709,Excellent,5
6710,Very Good,4
6711,Awesome,5
6712,Wonderful,5
6713,Terrific purchase,5
6714,Nice,3
6715,Wonderful,5
6716,Highly recommended,5
6717,Fabulous!,5
6718,Awesome,5
6719,Super!,5
6720,Highly recommended,5
6721,Terrific purchase,5
6722,Awesome,5
6723,Just wow!,5
6724,Super!,5
6725,Super!,5
6726,Wonderful,5
6727,Mind-blowing purchase,5
6728,Must buy!,5
6729,Highly recommended,5
6730,Fabulous!,5
6731,Worth every penny,5
6732,Must buy!,5
6733,Terrific purchase,5
6734,Mind-blowing purchase,5
6735,Just wow!,5
6736,Worth the money,4
6737,Must buy!,5
6738,Great product,5
6739,Delightful,4
6740,Best in the market!,5
6741,Perfect product!,5
6742,Classy product,5
6743,Super!,5
6744,Classy product,5
6745,Just wow!,5
6746,Simply awesome,5
6747,Terrific,5
6748,Awesome,5
6749,Best in the market!,5
6750,Terrific,5
6751,Classy product,5
6752,Terrific,5
6753,Super!,5
6754,Terrific,5
6755,Must buy!,5
6756,Terrific,5
6757,Nice product,4
6758,Highly recommended,5
6759,Must buy!,5
6760,Super!,5
6761,Highly recommended,5
6762,Terrific purchase,5
6763,Great product,5
6764,Pretty good,4
6765,Super!,5
6766,Great product,5
6767,Great product,5
6768,Excellent,5
6769,Excellent,5
6770,Fabulous!,5
6771,Must buy!,5
6772,Super!,5
6773,Wonderful,5
6774,Terrific purchase,5
6775,Terrific purchase,5
6776,Highly recommended,5
6777,Highly recommended,5
6778,Fabulous!,5
6779,Super!,5
6780,Mind-blowing purchase,5
6781,Brilliant,5
6782,Wonderful,5
6783,Worth every penny,5
6784,Mind-blowing purchase,5
6785,Great product,5
6786,Fabulous!,5
6787,Moderate,2
6788,Worth the money,4
6789,Simply awesome,5
6790,Simply awesome,5
6791,Worst experience ever!,1
6792,Just wow!,5
6793,Fabulous!,5
6794,Just wow!,5
6795,Highly recommended,5
6796,Super!,5
6797,Just wow!,5
6798,Wonderful,4
6799,Unsatisfactory,1
6800,Worthless,1
6801,Terrible product,1
6802,Horrible,1
6803,Useless product,1
6804,Terrific purchase,5
6805,Delightful,4
6806,Excellent,5
6807,Mind-blowing purchase,5
6808,Highly recommended,5
6809,Simply awesome,5
6810,Terrific purchase,5
6811,Very poor,1
6812,Absolute rubbish!,1
6813,Terrific purchase,5
6814,Not recommended at all,1
6815,Absolute rubbish!,1
6816,Simply awesome,5
6817,Fabulous!,5
6818,Highly recommended,5
6819,Just wow!,5
6820,Best in the market!,5
6821,Utterly Disappointed,1
6822,Must buy!,5
6823,Terrific,5
6824,Worst experience ever!,1
6825,Slightly disappointed,2
6826,Not recommended at all,1
6827,Just wow!,5
6828,Worthless,1
6829,Terrific,5
6830,Fair,3
6831,Best in the market!,5
6832,Hated it!,1
6833,Don't waste your money,1
6834,Awesome,5
6835,Absolute rubbish!,1
6836,Fair,3
6837,Absolute rubbish!,1
6838,Just wow!,5
6839,Classy product,5
6840,Awesome,5
6841,Fabulous!,5
6842,Delightful,4
6843,Best in the market!,5
6844,Fabulous!,5
6845,Classy product,5
6846,Decent product,3
6847,Unsatisfactory,1
6848,Really Nice,4
6849,Could be way better,2
6850,Nice,3
6851,Not good,2
6852,Fabulous!,5
6853,Expected a better product,2
6854,Just wow!,5
6855,Slightly disappointed,2
6856,Perfect product!,5
6857,Waste of money!,1
6858,Must buy!,5
6859,Very poor,1
6860,Classy product,5
6861,Must buy!,5
6862,Excellent,5
6863,Wonderful,5
6864,Unsatisfactory,1
6865,Worst experience ever!,1
6866,Brilliant,5
6867,Classy product,5
6868,Don't buy from Flipkart,1
6869,Flipkart and Apple does not Match. Dont Buy,1
6870,Very poor,1
6871,Pretty good,4
6872,Awesome,5
6873,Super!,5
6874,Classy product,5
6875,Awesome,5
6876,Worth every penny,5
6877,Awesome,5
6878,Excellent,5
6879,Worth every penny,5
6880,Delightful,4
6881,Fabulous!,5
6882,Not recommended at all,1
6883,Terrible product,1
6884,Utterly Disappointed,1
6885,Excellent,5
6886,Hated it!,1
6887,NOT WORKING,1
6888,Useless product,1
6889,Terrific purchase,5
6890,Great product,5
6891,Moderate,2
6892,Unsatisfactory,1
6893,Worthless,1
6894,Hated it!,1
6895,Fabulous!,5
6896,Classy product,5
6897,Just okay,3
6898,Excellent,5
6899,Wonderful,4
6900,Perfect product!,5
6901,Waste of money!,1
6902,Waste of money!,1
6903,Did not meet expectations,1
6904,Not good,2
6905,Could be way better,2
6906,Slightly disappointed,2
6907,Highly recommended,5
6908,Highly recommended,5
6909,Worthless,1
6910,Decent product,3
6911,Best in the market!,5
6912,Expected a better product,2
6913,Hated it!,1
6914,Simply awesome,5
6915,Excellent,5
6916,Very poor,1
6917,Wonderful,5
6918,Terrific,5
6919,Highly recommended,5
6920,Classy product,5
6921,Horrible,1
6922,Fabulous!,5
6923,Hated it!,1
6924,Don't waste your money,1
6925,Brilliant,5
6926,Worthless,1
6927,Not recommended at all,1
6928,Did not meet expectations,1
6929,Moderate,2
6930,Simply awesome,5
6931,Unsatisfactory,1
6932,Horrible,1
6933,Not recommended at all,1
6934,Terrible product,1
6935,Slightly disappointed,2
6936,Did not meet expectations,1
6937,Worst experience ever!,1
6938,Worst experience ever!,1
6939,Don't waste your money,1
6940,Horrible,1
6941,Awesome,5
6942,Classy product,5
6943,Horrible,1
6944,Must buy!,5
6945,Worst experience ever!,1
6946,Horrible,1
6947,Did not meet expectations,1
6948,Really Nice,4
6949,Simply awesome,5
6950,Unsatisfactory,1
6951,Absolute rubbish!,1
6952,Highly recommended,5
6953,Delightful,4
6954,Good choice,4
6955,Good,3
6956,Perfect product!,5
6957,Highly recommended,5
6958,Must buy!,5
6959,Perfect product!,5
6960,Terrific,5
6961,Super!,5
6962,Terrific,5
6963,Excellent,5
6964,Good choice,4
6965,Good choice,4
6966,Wonderful,5
6967,Awesome,5
6968,Very poor,1
6969,Wonderful,5
6970,Must buy!,5
6971,Mind-blowing purchase,5
6972,Nice product,4
6973,Good,3
6974,Excellent,5
6975,Did not meet expectations,1
6976,Super!,5
6977,Nice product,4
6978,Terrific purchase,5
6979,Brilliant,5
6980,Good choice,4
6981,Classy product,5
6982,Horrible,1
6983,Awesome,5
6984,Excellent,5
6985,Excellent,5
6986,Best in the market!,5
6987,Fabulous!,5
6988,Awesome,5
6989,Fabulous!,5
6990,Good quality product,4
6991,Really Nice,4
6992,Classy product,5
6993,Perfect product!,5
6994,Perfect product!,5
6995,Highly recommended,5
6996,Simply awesome,5
6997,Useless product,1
6998,Wonderful,5
6999,Value-for-money,4
7000,Best in the market!,5
7001,Great product,5
7002,Best in the market!,5
7003,Just wow!,5
7004,Brilliant,5
7005,Great product,5
7006,Brilliant,5
7007,Awesome,5
7008,Terrific,5
7009,Awesome,5
7010,Must buy!,5
7011,Terrific,5
7012,Horrible,1
7013,Must buy!,5
7014,Worth every penny,5
7015,Classy product,5
7016,Just wow!,5
7017,Good quality product,4
7018,Perfect product!,5
7019,Delightful,4
7020,Brilliant,5
7021,Fabulous!,5
7022,Just wow!,5
7023,Highly recommended,5
7024,Fair,3
7025,Wonderful,5
7026,Wonderful,5
7027,Mind-blowing purchase,5
7028,Terrific,5
7029,Good quality product,4
7030,Excellent,5
7031,Decent product,3
7032,Classy product,5
7033,Must buy!,5
7034,Mind-blowing purchase,5
7035,Best in the market!,5
7036,Must buy!,5
7037,Classy product,5
7038,Worth every penny,5
7039,Awesome,5
7040,Terrific purchase,5
7041,Delightful,4
7042,Best in the market!,5
7043,Nice product,4
7044,Highly recommended,5
7045,Mind-blowing purchase,5
7046,Highly recommended,5
7047,Highly recommended,5
7048,Best in the market!,5
7049,Super!,5
7050,Perfect product!,5
7051,Highly recommended,5
7052,Fabulous!,5
7053,Simply awesome,5
7054,Super!,5
7055,Brilliant,5
7056,Worst experience ever!,1
7057,Worth the money,4
7058,one of the buds ( right ) started switching off,2
7059,Classy product,5
7060,Just wow!,5
7061,Perfect product!,5
7062,Moderate,2
7063,Very poor,1
7064,Waste of money!,1
7065,Hated it!,1
7066,Very poor,1
7067,Absolute rubbish!,1
7068,Not recommended at all,1
7069,Utterly Disappointed,1
7070,Very Good,4
7071,Perfect product!,5
7072,Absolute rubbish!,1
7073,Super!,5
7074,Super!,5
7075,Super!,5
7076,Worth every penny,5
7077,Not recommended at all,1
7078,Simply awesome,5
7079,Best in the market!,5
7080,Brilliant,5
7081,Simply awesome,5
7082,Classy product,5
7083,Wonderful,5
7084,Very poor,1
7085,Don't waste your money,1
7086,Utterly Disappointed,1
7087,Absolute rubbish!,1
7088,Terrible product,1
7089,Fabulous!,5
7090,Don't waste your money,1
7091,Unsatisfactory,1
7092,Useless product,1
7093,Worthless,1
7094,Hated it!,1
7095,Great product,5
7096,Not recommended at all,1
7097,FLipkart no-return horrible policy,1
7098,Horrible,1
7099,Worst experience ever!,1
7100,Terrible product,1
7101,Worthless,1
7102,Useless product,1
7103,Unsatisfactory,1
7104,Hated it!,1
7105,Mind-blowing purchase,5
7106,Must buy!,5
7107,Unsatisfactory,1
7108,Terrible product,1
7109,Don't waste your money,1
7110,Unsatisfactory,1
7111,Just wow!,5
7112,Not recommended at all,1
7113,Absolute rubbish!,1
7114,Did not meet expectations,1
7115,Terrible product,1
7116,Terrible product,1
7117,Worst experience ever!,1
7118,Useless product,1
7119,Waste of money!,1
7120,Useless product,1
7121,Could be way better,2
7122,Worthless,1
7123,Hated it!,1
7124,Utterly Disappointed,1
7125,Very poor,1
7126,Very poor,1
7127,Mind-blowing purchase,5
7128,Waste of money!,1
7129,Not recommended at all,1
7130,Very poor,1
7131,Did not meet expectations,1
7132,Worst experience ever!,1
7133,Horrible,1
7134,Don't waste your money,1
7135,Did not meet expectations,1
7136,Terrible product,1
7137,Terrible product,1
7138,Waste of money!,1
7139,Useless product,1
7140,Don't waste your money,1
7141,Worthless,1
7142,Did not meet expectations,1
7143,Hated it!,1
7144,Worst experience ever!,1
7145,Utterly Disappointed,1
7146,Hated it!,1
7147,Did not meet expectations,1
7148,Useless product,1
7149,Hated it!,1
7150,Absolute rubbish!,1
7151,Very poor,1
7152,Fabulous!,5
7153,Terrible product,1
7154,Absolute rubbish!,1
7155,Absolute rubbish!,1
7156,Terrible product,1
7157,Terrible product,1
7158,Very poor,1
7159,Waste of money!,1
7160,Don't waste your money,1
7161,Unsatisfactory,1
7162,Absolute rubbish!,1
7163,Don't waste your money,1
7164,Simply awesome,5
7165,Worthless,1
7166,Unsatisfactory,1
7167,Did not meet expectations,1
7168,Very poor,1
7169,Not recommended at all,1
7170,Did not meet expectations,1
7171,Unsatisfactory,1
7172,Unsatisfactory,1
7173,Utterly Disappointed,1
7174,Don't waste your money,1
7175,Worthless,1
7176,Worst experience ever!,1
7177,Absolute rubbish!,1
7178,Unsatisfactory,1
7179,Worst experience ever!,1
7180,Horrible,1
7181,Worst experience ever!,1
7182,Horrible,1
7183,Not recommended at all,1
7184,Worth the money,4
7185,Perfect product!,5
7186,Very poor,1
7187,Perfect product!,5
7188,Useless product,1
7189,Not good,2
7190,Super!,5
7191,Classy product,5
7192,Really Nice,4
7193,Terrific purchase,5
7194,Best in the market!,5
7195,Just wow!,5
7196,Terrific purchase,5
7197,Unsatisfactory,1
7198,Fabulous!,5
7199,Slightly disappointed,2
7200,Worst experience ever!,1
7201,Waste of money!,1
7202,Worst experience ever!,1
7203,Worst experience ever!,1
7204,Fabulous!,5
7205,Terrific purchase,5
7206,Classy product,5
7207,Mind-blowing purchase,5
7208,Terrific,5
7209,Highly recommended,5
7210,Decent product,3
7211,Worth the money,4
7212,Classy product,5
7213,Very poor,1
7214,Horrible,1
7215,Super!,5
7216,Not recommended at all,1
7217,Really Nice,4
7218,Did not meet expectations,1
7219,Really Nice,4
7220,Highly recommended,5
7221,Utterly Disappointed,1
7222,Just wow!,5
7223,Great product,5
7224,Mind-blowing purchase,5
7225,Wonderful,5
7226,Super!,5
7227,Brilliant,5
7228,Good choice,4
7229,Terrific purchase,5
7230,Simply awesome,5
7231,Useless product,1
7232,Good choice,4
7233,Just wow!,5
7234,Excellent,5
7235,Super!,5
7236,Good,3
7237,Does the job,3
7238,Terrific purchase,5
7239,Worth every penny,5
7240,Simply awesome,5
7241,Utterly Disappointed,1
7242,Terrific,5
7243,Worth every penny,5
7244,Best in the market!,5
7245,Mind-blowing purchase,5
7246,Brilliant,5
7247,Simply awesome,5
7248,Worth every penny,5
7249,Worthless,1
7250,Worth every penny,5
7251,Great product,5
7252,Excellent,5
7253,Just wow!,5
7254,Classy product,5
7255,Worth every penny,5
7256,Perfect product!,5
7257,Great product,5
7258,Good quality product,4
7259,Just wow!,5
7260,Fabulous!,5
7261,Super!,5
7262,Wonderful,5
7263,Terrific,5
7264,Delightful,4
7265,Brilliant,5
7266,Fabulous!,5
7267,Terrific purchase,5
7268,Just wow!,5
7269,Terrific purchase,5
7270,Very Good,4
7271,Terrific,5
7272,Simply awesome,5
7273,Worth the money,4
7274,Excellent,5
7275,Must buy!,5
7276,Classy product,5
7277,Fabulous!,5
7278,Classy product,5
7279,Must buy!,5
7280,Terrific,5
7281,Classy product,5
7282,Simply awesome,5
7283,Simply awesome,5
7284,Mind-blowing purchase,5
7285,Excellent,5
7286,Perfect product!,5
7287,Simply awesome,5
7288,Terrific purchase,5
7289,Good quality product,4
7290,Wonderful,5
7291,Simply awesome,5
7292,Terrific,5
7293,Super!,5
7294,Just wow!,5
7295,Highly recommended,5
7296,Just wow!,5
7297,Wonderful,5
7298,Terrific purchase,5
7299,Wonderful,5
7300,Wonderful,5
7301,Terrific,5
7302,Simply awesome,5
7303,Waste of money!,1
7304,Terrific purchase,5
7305,Don't waste your money,1
7306,Not recommended at all,1
7307,Hated it!,1
7308,Perfect product!,5
7309,Brilliant,5
7310,Absolute rubbish!,1
7311,Best in the market!,5
7312,Just wow!,5
7313,Perfect product!,5
7314,Worth every penny,5
7315,Best in the market!,5
7316,Brilliant,5
7317,Worth the money,4
7318,Awesome,5
7319,Horrible,1
7320,Hated it!,1
7321,Useless product,1
7322,Must buy!,5
7323,Good,3
7324,Worst experience ever!,1
7325,Wonderful,5
7326,Simply awesome,5
7327,Good quality product,4
7328,Mind-blowing purchase,5
7329,Great product,5
7330,Best in the market!,5
7331,Fabulous!,5
7332,Moderate,2
7333,Brilliant,5
7334,Best in the market!,5
7335,Very Good,4
7336,Super!,5
7337,Not recommended at all,1
7338,Not recommended at all,1
7339,Fair,3
7340,Perfect product!,5
7341,Perfect product!,5
7342,Simply awesome,5
7343,Awesome,5
7344,Mind-blowing purchase,5
7345,Decent product,3
7346,Simply awesome,5
7347,Unsatisfactory,1
7348,Awesome,5
7349,Great product,5
7350,Terrible product,1
7351,Best in the market!,5
7352,Fabulous!,5
7353,Excellent,5
7354,Not good,2
7355,Great product,5
7356,Terrific,5
7357,Decent product,3
7358,Highly recommended,5
7359,Best in the market!,5
7360,Brilliant,5
7361,Excellent,5
7362,Fabulous!,5
7363,Worst experience ever!,1
7364,Terrific purchase,5
7365,Fabulous!,5
7366,Fabulous!,5
7367,Wonderful,5
7368,Fabulous!,5
7369,Excellent,5
7370,Excellent,5
7371,Excellent,5
7372,Best in the market!,5
7373,Very poor,1
7374,Just wow!,5
7375,Worthless,1
7376,Wonderful,5
7377,Pretty good,4
7378,Perfect product!,5
7379,Simply awesome,5
7380,Great product,5
7381,Not recommended at all,1
7382,Brilliant,5
7383,Terrific purchase,5
7384,Terrible product,1
7385,Great product,5
7386,Classy product,5
7387,Brilliant,5
7388,Excellent,5
7389,Classy product,5
7390,Value-for-money,4
7391,Awesome,5
7392,Excellent,5
7393,Unsatisfactory,1
7394,Fabulous!,5
7395,Brilliant,5
7396,Terrific,5
7397,Could be way better,2
7398,Waste of money!,1
7399,Super!,5
7400,Wonderful,5
7401,Worth the money,4
7402,Perfect product!,5
7403,Fabulous!,5
7404,Expected a better product,2
7405,Wonderful,4
7406,Pretty good,4
7407,Worth every penny,5
7408,Brilliant,5
7409,Really Nice,4
7410,Terrific,5
7411,Classy product,5
7412,Decent product,3
7413,Just wow!,5
7414,Wonderful,5
7415,Awesome,5
7416,Brilliant,5
7417,Must buy!,5
7418,Don't waste your money,1
7419,Nice,3
7420,Super!,5
7421,Just wow!,5
7422,Really Nice,4
7423,Just wow!,5
7424,Don't waste your money,1
7425,Terrible product,1
7426,Great product,5
7427,Best in the market!,5
7428,Simply awesome,5
7429,Perfect product!,5
7430,Terrific,5
7431,Decent product,3
7432,Best in the market!,5
7433,Worth every penny,5
7434,Not good,2
7435,Value-for-money,4
7436,Awesome,5
7437,Brilliant,5
7438,Super!,5
7439,Fabulous!,5
7440,Must buy!,5
7441,Really Nice,4
7442,Does the job,3
7443,Super!,5
7444,Worth every penny,5
7445,Must buy!,5
7446,Just wow!,5
7447,Terrific,5
7448,Good,3
7449,Very poor,1
7450,Highly recommended,5
7451,Simply awesome,5
7452,Awesome,5
7453,Could be way better,2
7454,Highly recommended,5
7455,Terrific purchase,5
7456,Moderate,2
7457,Absolute rubbish!,1
7458,Just okay,3
7459,Terrible product,1
